,Tenor_Year_Numeric,Market Rate,Discount Factor
0,0.5,0.036161,0.9822405988524484
1,1.0,0.034956999999999995,0.9662237175071042
2,1.5,0.0341118,0.950930461036686
3,2.0,0.0340095,0.9353000170334868
4,2.5,0.034157999999999994,0.9194598300376472
5,3.0,0.0343065,0.9037581735815912
6,3.5,0.03459925,0.8877638217686192
7,4.0,0.034892,0.8718060550131765
8,4.5,0.035219749999999994,0.8557630485543327
9,5.0,0.035547499999999996,0.8397497385727652
10,5.5,0.03589874999999999,0.8236729438180789
11,6.0,0.03625,0.8076305502600376
12,6.5,0.036595,0.7916638006232855
13,7.0,0.03694,0.7757550401448619
14,7.5,0.03726,0.7600510643971524
15,8.0,0.03758,0.7444358255170462
16,8.5,0.037881750000000006,0.7290260697460426
17,9.0,0.0381835,0.7137282705499987
18,9.5,0.038469500000000004,0.6986496007666976
19,10.0,0.0387555,0.6837016641772169
20,10.5,0.0390195,0.66903858835624
21,11.0,0.0392835,0.6545241030991579
22,11.5,0.0395475,0.6401623220056002
23,12.0,0.0398115,0.6259571499987068
24,12.5,0.04002253333333333,0.6123019444737057
25,13.0,0.040233566666666665,0.5988234134817265
26,13.5,0.0404446,0.5855230993840148
27,14.0,0.04065563333333334,0.5724024010101793
28,14.5,0.04086666666666667,0.5594625757937751
29,15.0,0.0410777,0.5467047420023629
30,15.5,0.04118843,0.534928000619831
31,16.0,0.04129916,0.5233493765702996
32,16.5,0.041409890000000005,0.5119670221959975
33,17.0,0.04152062,0.5007790675259803
34,17.5,0.04163135,0.4897836215664799
35,18.0,0.04174208,0.47897877357384394
36,18.5,0.041852810000000004,0.4683625943096193
37,19.0,0.04196354,0.4579331372774048
38,19.5,0.04207427,0.44768843994105606
39,20.0,0.042185,0.437626524923915
40,20.5,0.0422073,0.4284900372163567
41,21.0,0.0422296,0.41953532236528446
42,21.5,0.0422519,0.41075896093990194
43,22.0,0.0422742,0.40215759366401393
44,22.5,0.0422965,0.3937279204427247
45,23.0,0.042318800000000004,0.3854666994032044
46,23.5,0.0423411,0.3773707459493968
47,24.0,0.0423634,0.3694369318304425
48,24.5,0.0423857,0.36166218422269386
49,25.0,0.042408,0.3540434848251351
50,25.5,0.0423865,0.34694941266762686
51,26.0,0.042365,0.3400045029576561
52,26.5,0.0423435,0.33320548634059166
53,27.0,0.042322,0.32654916780088855
54,27.5,0.0423005,0.3200324249149547
55,28.0,0.042279,0.3136522061463637
56,28.5,0.042257499999999996,0.30740552918229896
57,29.0,0.042235999999999996,0.3012894793102626
58,29.5,0.042214499999999995,0.2953012078339894
59,30.0,0.042192999999999994,0.28943793052764905
