,Tenor_Year_Numeric,Rate,DiscountFactor,libor_rate
0,0.5,0.045,0.9779951100244499,0.044999999999999866
1,1.0,0.048,0.953640739608802,0.051076614922383565
2,1.5,0.049,0.9298925541083313,0.05107726778873448
3,2.0,0.05,0.9058163803965469,0.053159060120428286
4,2.5,0.05075,0.8820223099865854,0.05395344344594502
5,3.0,0.051500000000000004,0.8581806456995258,0.05556327658176353
6,3.5,0.052000000000000005,0.8350913828114714,0.055297571890445284
7,4.0,0.052500000000000005,0.812185844609805,0.05640467228943351
8,4.5,0.052750000000000005,0.7904435430411881,0.05501291460985204
9,5.0,0.053000000000000005,0.7690700287164173,0.055582751964586084
10,5.5,0.053500000000000006,0.7469115598555309,0.05933358124801893
11,6.0,0.054000000000000006,0.7249720032432486,0.060525252048722125
12,6.5,0.05450000000000001,0.7032615699369414,0.061742129058051216
13,7.0,0.05500000000000001,0.6817899747142888,0.06298595174166509
14,7.5,0.05533333333333334,0.6615583157053162,0.06116364507459258
15,8.0,0.05566666666666667,0.6416599744234537,0.06202145084627302
16,8.5,0.056,0.6220955503573022,0.06289845363759494
17,9.0,0.05633333333333333,0.6028654100594221,0.06379579911869461
18,9.5,0.056666666666666664,0.5839696932672988,0.06471471725322649
19,10.0,0.056999999999999995,0.5654083190752272,0.06565653021317511
20,10.5,0.0573,0.5474369264947075,0.0656564864763223
21,11.0,0.0576,0.5298089874798672,0.06654450729003632
22,11.5,0.05789999999999999,0.5125225481863305,0.06745630745304146
23,12.0,0.058199999999999995,0.49557551091299223,0.06839336044719779
24,12.5,0.058499999999999996,0.4789656397188097,0.0693572557895128
25,13.0,0.0588,0.4626905660000433,0.07034971064771971
26,13.5,0.0591,0.44674779402338727,0.07137258287534577
27,14.0,0.059399999999999994,0.4311347064106231,0.07242788567290086
28,14.5,0.059699999999999996,0.4158485695706102,0.07351780411699765
29,15.0,0.06,0.40088653907460625,0.07464471384118734
30,15.5,0.0605,0.3842697664646717,0.08648493355493911
31,16.0,0.061,0.36795835696135587,0.08865899738229839
32,16.5,0.0615,0.35195506937290416,0.0909393782391915
33,17.0,0.062,0.3362622806986674,0.09333659809617133
34,17.5,0.0625,0.32088199481785673,0.09586256710689584
35,18.0,0.063,0.3058158514555498,0.09853082036525367
36,18.5,0.0635,0.29106513540220863,0.10135680477813237
37,19.0,0.064,0.2766307859632141,0.10435822888428604
38,19.5,0.0645,0.2625134066152112,0.10755549234630872
39,20.0,0.065,0.24871327484638733,0.11097221712308887
40,20.5,0.06525,0.2380570977062084,0.08952622915137752
41,21.0,0.0655,0.2276812164042423,0.0911439377023002
42,21.5,0.06575,0.21758047661862728,0.09284601212929121
43,22.0,0.066,0.2077497555104281,0.09464002577568115
44,22.5,0.06625,0.19818396381331804,0.09653446740141575
45,23.0,0.0665,0.18887804783164544,0.09853888356541399
46,23.5,0.06675,0.17982699134815133,0.10066404843498657
47,24.0,0.067,0.17102581744265447,0.10292216739087279
48,24.5,0.06725,0.1624695902230559,0.10532712254461457
49,25.0,0.0675,0.15415341647006509,0.10789477059181142
50,25.5,0.06775,0.146072447197079,0.11064330649685582
51,26.0,0.068,0.13822187912668715,0.11359371063384838
52,26.5,0.06825,0.13059695608530086,0.11677030261572077
53,27.0,0.0685,0.12319297031744231,0.12020143274052157
54,27.5,0.06875,0.11600526372124861,0.12392035267408519
55,28.0,0.069,0.10902922900677398,0.12796632202253247
56,28.5,0.06925,0.1022603107786949,0.13238602888129167
57,29.0,0.0695,0.09569400654504051,0.13723543345556977
58,29.5,0.06975,0.08932586765358932,0.14258218943133433
59,30.0,0.07,0.0831515001575849,0.14850886596881693
