,Tenor_Year_Numeric,OIS 3M Rates
0,1.0,0.0465
1,2.0,0.04493823473335208
2,3.0,0.08731675938343286
3,4.0,0.08114373671548254
4,5.0,0.07668867183555267
5,6.0,0.07414686937145802
6,7.0,0.07224079607248729
7,8.0,0.0717018400260804
8,9.0,0.07229262486398617
9,10.0,0.07424480452197148
10,11.0,0.07665378342148362
11,12.0,0.07948667494907519
12,13.0,0.08266886127114825
13,14.0,0.08636717046689839
14,15.0,0.09063974967870897
15,16.0,0.09347756103077706
16,17.0,0.0966874486125379
17,18.0,0.10041067841335426
18,19.0,0.10456222945937832
19,20.0,0.10917878248799848
20,21.0,0.11129281821880285
21,22.0,0.11363686274715282
22,23.0,0.11633261713042897
23,24.0,0.11925036658680106
24,25.0,0.12240500929797035
25,26.0,0.12462192820275393
26,27.0,0.12704775989637088
27,28.0,0.12972340498173554
28,29.0,0.13256743009778776
29,30.0,0.13558877715174847
