,Tenor_Year_Numeric,Market Rate,Discount Factor
0,0.020833333333333332,0.036595,0.9992381849712703
1,0.041666666666666664,0.0365801,0.9984781487279881
2,0.0625,0.036610000000000004,0.9977170985638486
3,0.08333333333333333,0.036701000000000004,0.9969509087249072
4,0.16666666666666666,0.03666,0.993927105386091
5,0.25,0.036595,0.9909341908217197
6,0.3333333333333333,0.03649,0.9879828354448722
7,0.4166666666666667,0.0363505,0.9850799382108609
8,0.5,0.036161,0.9822405988524484
9,0.5833333333333334,0.0359455,0.9794624277600547
10,0.6666666666666666,0.0357205,0.9767402336557988
11,0.75,0.0355165,0.9740537646021313
12,0.8333333333333334,0.035305,0.971420013680832
13,0.9166666666666666,0.0351145,0.9688154846101843
14,1.0,0.034956999999999995,0.9662237175071042
15,1.5,0.0341118,0.950930461036686
16,2.0,0.0340095,0.9353000170334868
17,3.0,0.0343065,0.9037581735815912
18,4.0,0.034892,0.8718060550131765
19,5.0,0.035547499999999996,0.8397497385727652
20,6.0,0.03625,0.8076305502600376
21,7.0,0.03694,0.7757550401448619
22,8.0,0.03758,0.7444358255170462
23,9.0,0.0381835,0.7137282705499987
24,10.0,0.0387555,0.6837016641772169
25,12.0,0.0398115,0.6259571499987068
26,15.0,0.0410777,0.5467047420023629
27,20.0,0.042185,0.437626524923915
28,25.0,0.042408,0.3540434848251351
29,30.0,0.042192999999999994,0.28943793052764905
30,40.0,0.041225,0.1987085333846994
31,50.0,0.040170000000000004,0.13956734049017033
